interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
mov10,puf60,human,human,1,human-human
mov10,hnrnpa1,human,human,1,human-human
mov10,khdrbs2,human,human,1,human-human
mov10,pms1,human,human,1,human-human
mov10,mrpl58,human,human,1,human-human
mov10,eif2ak2,human,human,1,human-human
mov10,sirt7,human,human,1,human-human
mov10,cul3,human,human,1,human-human
mov10,cops5,human,human,1,human-human
mov10,cand1,human,human,1,human-human
mov10,rps15a,human,human,1,human-human
mov10,rps13,human,human,1,human-human
mov10,rps26,human,human,1,human-human
mov10,ilf3,human,human,1,human-human
mov10,rpl10,human,human,1,human-human
mov10,ilf2,human,human,1,human-human
mov10,srsf5,human,human,1,human-human
mov10,rpl9,human,human,1,human-human
mov10,rps24,human,human,1,human-human
mov10,rps10,human,human,1,human-human
mov10,rpl31,human,human,1,human-human
mov10,rab5b,human,human,1,human-human
mov10,rhbdd2,human,human,1,human-human
mov10,senp3,human,human,1,human-human
mov10,rpl10l,human,human,1,human-human
mov10,rap1b,human,human,1,human-human
mov10,rab5a,human,human,1,human-human
mov10,myo1e,human,human,1,human-human
mov10,mrps21,human,human,1,human-human
mov10,mrps10,human,human,1,human-human
mov10,uqcr10,human,human,1,human-human
mov10,atp6v1c1,human,human,1,human-human
mov10,sqor,human,human,1,human-human
mov10,sugp2,human,human,1,human-human
mov10,bard1,human,human,1,human-human
mov10,ifit1,human,human,1,human-human
mov10,ifit3,human,human,1,human-human
mov10,cbx6,human,human,1,human-human
mov10,cbx8,human,human,1,human-human
mov10,tardbp,human,human,1,human-human
mov10,rpa1,human,human,1,human-human
mov10,rpa2,human,human,1,human-human
mov10,rpa3,human,human,1,human-human
mov10,stub1,human,human,1,human-human
mov10,pop1,human,human,1,human-human
mov10,upf1,human,human,1,human-human
mov10,stau1,human,human,1,human-human
mov10,cep250,human,human,1,human-human
mov10,noc2l,human,human,1,human-human
mov10,agrn,human,human,1,human-human
mov10,nadk,human,human,1,human-human
mov10,pgd,human,human,1,human-human
mov10,dffa,human,human,1,human-human
mov10,srm,human,human,1,human-human
mov10,exosc10,human,human,1,human-human
mov10,mtor,human,human,1,human-human
mov10,mad2l2,human,human,1,human-human
mov10,clcn6,human,human,1,human-human
mov10,szrd1,human,human,1,human-human
mov10,ubr4,human,human,1,human-human
mov10,micos10,human,human,1,human-human
mov10,ddost,human,human,1,human-human
mov10,e2f2,human,human,1,human-human
mov10,cep85,human,human,1,human-human
mov10,arid1a,human,human,1,human-human
mov10,nudc,human,human,1,human-human
mov10,tmem222,human,human,1,human-human
mov10,stx12,human,human,1,human-human
mov10,rcc1,human,human,1,human-human
mov10,mecr,human,human,1,human-human
mov10,snrnp40,human,human,1,human-human
mov10,txlna,human,human,1,human-human
mov10,yars1,human,human,1,human-human
mov10,sfpq,human,human,1,human-human
mov10,zmym4,human,human,1,human-human
mov10,ago1,human,human,1,human-human
mov10,lsm10,human,human,1,human-human
mov10,c1orf109,human,human,1,human-human
mov10,kiaa0754,human,human,1,human-human
mov10,bmp8b,human,human,1,human-human
mov10,cdc20,human,human,1,human-human
mov10,elovl1,human,human,1,human-human
mov10,med8,human,human,1,human-human
mov10,kdm4a,human,human,1,human-human
mov10,atp6v0b,human,human,1,human-human
mov10,kif2c,human,human,1,human-human
mov10,urod,human,human,1,human-human
mov10,mknk1,human,human,1,human-human
mov10,cmpk1,human,human,1,human-human
mov10,nrdc,human,human,1,human-human
mov10,lrp8,human,human,1,human-human
mov10,yipf1,human,human,1,human-human
mov10,lrrc42,human,human,1,human-human
mov10,mrpl37,human,human,1,human-human
mov10,dock7,human,human,1,human-human
mov10,pde4b,human,human,1,human-human
mov10,wls,human,human,1,human-human
mov10,dnajb4,human,human,1,human-human
mov10,ddah1,human,human,1,human-human
mov10,lmo4,human,human,1,human-human
mov10,kyat3,human,human,1,human-human
mov10,abcd3,human,human,1,human-human
mov10,agl,human,human,1,human-human
mov10,dph5,human,human,1,human-human
mov10,gstm3,human,human,1,human-human
mov10,ahcyl1,human,human,1,human-human
mov10,strip1,human,human,1,human-human
mov10,lamtor5,human,human,1,human-human
mov10,inka2,human,human,1,human-human
mov10,notch2nla,human,human,1,human-human
mov10,lix1l,human,human,1,human-human
mov10,aph1a,human,human,1,human-human
mov10,golph3l,human,human,1,human-human
mov10,setdb1,human,human,1,human-human
mov10,prune1,human,human,1,human-human
mov10,cdc42se1,human,human,1,human-human
mov10,pip5k1a,human,human,1,human-human
mov10,rfx5,human,human,1,human-human
mov10,pogz,human,human,1,human-human
mov10,s100a11,human,human,1,human-human
mov10,s100a4,human,human,1,human-human
mov10,s100a16,human,human,1,human-human
